S.No,Startup,City,Funding Raised (reported),Stage,Key Investors,Source,Hiring Signal,Stage Tier,Applied? / Notes,ats,career_url,confidence
137,InferEdge,Mumbai,Undisclosed (YC-backed),Pre-Seed/Seed,Y Combinator,"YC company directory, Jul 2026",20 employees and growing,Pre-Seed / Seed,,needs-resolution,,
138,Neodocs,Mumbai,$2.48M,Seed,"Omidyar Network India, Y Combinator, 9Unicorns, Gemba Capital, Titan Capital",YC company directory; YourStory,"International expansion (Australia, SE Asia); open roles on Wellfound/Built In Mumbai",Pre-Seed / Seed,,needs-resolution,,
139,Navana AI,Bengaluru,$1.5M (Rs 13.2 Cr),Pre-Series A,"Antler India, Ajay Agarwal, Ronnie Screwvala, Sandeep Singhal",Antler India portfolio; indianstartupnews.com,"40+ enterprise clients, R&D team expansion funded",Pre-Seed / Seed,,needs-resolution,,
140,Cautio,Bengaluru,$3M total seed,Seed,"9Unicorns, Venture Catalysts, Antler India, Infinyte Club, CARS24 Founders, 8i Ventures",Antler India portfolio; Inc42,"Active in 35+ cities, scaling fleet-safety ops",Pre-Seed / Seed,,needs-resolution,,
141,Aignosis,Jaipur,Undisclosed (Shark Tank equity + seed + WTFund grant),Pre-Seed/Seed,"Aman Gupta, Varun Dua, Peyush Bansal (Shark Tank India), WTFund",Google for Startups AI First India 2025 cohort,Scaling to 50+ pediatric clinics across 7 cities,Pre-Seed / Seed,,needs-resolution,,
142,AiSteth,Bengaluru,$1.64M total,Seed,"Social Alpha, Pfizer, TCA, Turbostart, Rainmatter by Zerodha, The Chennai Angels",Google for Startups AI First India 2025 cohort,"Rollout across 75 medical institutions, 53000+ patients screened",Pre-Seed / Seed,,needs-resolution,,
143,Knit,Bengaluru,$2.04M total ($1M seed),Seed,"Endiya Partners, Axilor Ventures, Google for Startups",Google for Startups AI First India 2025 cohort,Funding earmarked for GenAI feature + team expansion,Pre-Seed / Seed,,greenhouse,https://job-boards.greenhouse.io/knit,medium
144,Protecto,Bengaluru/San Jose,$5M total ($4M seed),Seed,"Together Fund, Better Capital, FortyTwo VC, Arali Ventures, Speciale Invest",Google for Startups AI First India 2025 cohort,Funding release explicitly cites hiring engineering talent,Pre-Seed / Seed,,needs-resolution,,
145,Phot.AI,Gurugram,$2.7M,Seed,"Info Edge Ventures, Google for Startups, ACV Capital, Together Fund",Google for Startups AI First India 2025 cohort,"56 employees as of mid-2025, growing",Pre-Seed / Seed,,needs-resolution,,
146,Mysa,Bengaluru,$6.5M total ($3.4M pre-Series A Jan 2026),Pre-Series A,"Blume Ventures, Piper Serica, Antler, IIMA Ventures, Neon Fund",Google for Startups AI First India 2025 cohort,Actively scaling AI finance-ops platform post-raise,Pre-Seed / Seed,,needs-resolution,,
147,Resilience AI,Bengaluru,$1M,Seed,"Kalaari Capital, Java Capital",Google for Startups AI First India 2025 cohort,Scaling Bharat Atlas mapping initiative with UNICEF,Pre-Seed / Seed,,needs-resolution,,
148,MyWonder,Bengaluru,$300K pre-seed,Pre-Seed,Antler India,Antler India blog; Google Accelerator 2026 cohort,Scaling hardware manufacturing for 100K-unit target,Pre-Seed / Seed,,needs-resolution,,
149,Jidoka Technologies,Chennai,$2.48M,Pre-Series A,"Arali Ventures, The Chennai Angels, Veltis Capital",Business Standard/Inc42; Google for Startups Accelerator 2026 cohort,"NASSCOM Emerge50 2025 winner; open roles on jidoka-tech.ai/careers, Instahyre",Pre-Seed / Seed,,needs-resolution,,
150,Aurassure,Bhubaneswar,$3.49M (Rs 25 Cr Pre-Series A Dec 2025),Pre-Series A,"Rainmatter by Zerodha, Unicorn India Ventures, Maithan Alloys",SaurEnergy; Indian Startup Times,"Expanding to 8 countries; open roles: Electronics Design Engineer, Sr. Embedded Developer, HR Manager",Pre-Seed / Seed,,needs-resolution,,
151,Fitsol,Delhi NCR,Undisclosed,Pre-Seed/Seed,Undisclosed,Google for Startups Accelerator India 2026 cohort,1-of-20 chosen from 2500 applicants; scaling enterprise ESG/decarbonisation AI team,Pre-Seed / Seed,,needs-resolution,,
152,Karya,Bengaluru,Grant-funded (nonprofit),Grant-funded (Nonprofit),Microsoft (major backer/client),NVIDIA blog,"24 full-time staff, 30000+ gig-worker network, actively growing",Pre-Seed / Seed,,greenhouse,https://job-boards.greenhouse.io/karya,medium
153,Frinks AI,Hyderabad,$6.25M total ($5.4M Pre-Series A May 2025),Pre-Series A,"Prime Venture Partners, Chiratae Ventures, Navam Capital",NVIDIA Inception coverage; PRNewswire,"Scaling to US market, running 1000+ production lines globally",Pre-Seed / Seed,,needs-resolution,,
154,Equal AI,Hyderabad,$40M+ ($10M Series A + $30M Series B 2026),Series B,"Prosus Ventures, Tomales Bay Capital, Think Investments, Valiant Fund",Prosus.com news release,"1M+ MAU, 350K DAU, aggressive hiring for expansion roadmap","Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
155,Vaani AI Research,Bengaluru,$400K,Pre-Seed,Venture Catalysts,Google for Startups AI First India 2025 cohort; YourStory,"Active in NASSCOM GenAI Foundry, building TTS/voice team",Pre-Seed / Seed,,needs-resolution,,
156,Pragmatic Leaders (Ostronaut),Gurugram,$195K,Pre-Seed/Seed,"Goodwater Capital, Y Combinator","YC company directory, Jul 2026","YC W2021 batch, building out SaaS training product",Pre-Seed / Seed,,needs-resolution,,
157,Dualite,Jodhpur,Undisclosed (100X.VC Class 12),Pre-Seed,100X.VC,100X.VC Class 12; Inc42,"22000+ users, 11 companies onboarded, scaling team",Pre-Seed / Seed,,needs-resolution,,
158,Produx AI,Kochi,Rs 3.2 Cr (~$385K),Pre-Seed,"Callapina Capital, Arjun Pillai, 1.0 Ventures, Nurture Ventures",Techstars Seattle cohort coverage; YourStory,"Techstars-backed, scaling B2B product-intelligence platform",Pre-Seed / Seed,,needs-resolution,,
159,Apptile,Bengaluru,$3.7M total,Seed,"Singularity Early Opportunities Fund, DeVC, Crown Trust, Google for Startups AI First",Inc42; Apptile blog,"300+ brands onboarded, live-commerce feature expansion",Pre-Seed / Seed,,needs-resolution,,
160,Adalat AI,New Delhi,Grant-funded (nonprofit),Grant-funded (Nonprofit),"MIT Solve, Echoing Green, ACT Grants, 100x Impact Cohort, DRK Foundation",ACT Grants portfolio; 100ximpact.org,Expanded to 3000+ courts across 8 states + intl pilots; open roles on adalat.ai/careers,Pre-Seed / Seed,,needs-resolution,,
161,Clodexa,Bengaluru,$154K,Seed,100X.VC,100X.VC Class 12; Tracxn,Early-stage team from Jan 2025 100X.VC cohort,Pre-Seed / Seed,,needs-resolution,,
162,Numberlabs,Bengaluru,$144K,Seed,100X.VC,100X.VC Class 12; Tracxn,"$52K ARR, 9 paying customers, $1.2B in transactions processed",Pre-Seed / Seed,,needs-resolution,,
163,Almonds Ai,Gurugram,Rs 16 Cr (~$1.9M),Seed,"Haldiram's Group, JIIF, Venture Catalysts, Ever Grow Capital, Nine Alps",YourStory,Recent raise (proxy signal),Pre-Seed / Seed,,needs-resolution,,
164,Devnagri,Noida,~$1.1M total,Pre-Series A,"Inflection Point Ventures, Venture Catalysts, Z Nation Lab",Inc42,Recent raise (proxy signal),Pre-Seed / Seed,,needs-resolution,,
165,Dubverse.ai,Gurugram,$800K,Seed,Kalaari Capital + angels,Kalaari Capital blog,Recent raise (proxy signal),Pre-Seed / Seed,,needs-resolution,,
166,Rezo.ai,Noida,Undisclosed (~$280K-$675K reported),Seed,"Modulor Capital, Dexter Angel Network, Veda",YourStory,Recent raise (proxy signal),Pre-Seed / Seed,,needs-resolution,,
167,Eubrics,Gurugram,$325K,Seed,"Iterative Accelerator, NASSCOM 10000 Startups",Inc42 AI Startup Tracker,Recent raise (proxy signal),Pre-Seed / Seed,,needs-resolution,,
168,GobbleCube,Gurugram,$15M Series A (total $20.4M),Series A,Susquehanna Venture Capital,YourStory,Scaling to 45+ CPG enterprise clients,"Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
169,Intellemo,Gurugram,~$385K-510K,Seed,"Inflection Point Ventures, Firstport Capital, Beacon Trusteeship",Inc42 AI Startup Tracker,"18-person team (Aug 2025), growing",Pre-Seed / Seed,,needs-resolution,,
170,Scalenut,Gurugram,$3.5M (Seed + Seed Plus),Seed,"Titan Capital, Saama Capital, First Principles VC, AngelList",TechFundingNews,"10x revenue growth cited, scaling",Pre-Seed / Seed,,needs-resolution,,
171,Wyzard.ai,Gurugram,$500K,Angel round,"Tim Davis (OLX), Ambarish Kenghe, Bhuvan Gupta + angels",Indian Startup Times,"Explicit: hiring engineers, data scientists, GTM specialists",Pre-Seed / Seed,,needs-resolution,,
172,Llumo AI,Noida,$1M,Seed,"SenseAI Ventures, India Quotient, AumVC, Venture Catalysts",Analytics India Magazine,Recent raise (proxy signal),Pre-Seed / Seed,,needs-resolution,,
173,PredCo,Delhi,Undisclosed (thin sourcing),Early Stage,Undisclosed,IndiaAI Govt Portal,Thin coverage - verify before applying,Pre-Seed / Seed,,needs-resolution,,
174,QuickReply.ai,Gurugram,$1.14M,Seed,"Leo Capital, Pentathlon Ventures + angels",SiliconIndia,Explicit: funds to hire more staff,Pre-Seed / Seed,,needs-resolution,,
175,Frammer AI,Delhi,$2M,Seed,Lumikai,ANI,Explicit: strengthen its technology team,Pre-Seed / Seed,,needs-resolution,,
176,Leena AI,Gurugram,$30M Series B (total $40.1M),Series B,"Bessemer Venture Partners, B Capital, Greycroft, Y Combinator",Inc42,"Established scaleup, active hiring","Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
177,Assert AI,Mumbai,$4M Series A (total $6M),Series A,"Arya.ag, Ramesh Hariharan, Prashant Purker",Entrackr,"65-person team, global expansion plans","Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
178,Highperformr.ai,Chennai,$3.5M,Seed,"Venture Highway, Neon, DeVC",Entrackr,R&D + distribution network build-out,Pre-Seed / Seed,,needs-resolution,,
179,Astrosure.ai,Chennai,$6M,Seed,Pradeep Dadha (Netmeds founder) + undisclosed,CXOToday,Scaling from 150K+ beta users,Pre-Seed / Seed,,needs-resolution,,
180,Prismforce,Mumbai,$13.6M Series A (total $15.4M),Series A,Sequoia Capital India,TechCrunch,"Team from Amazon/AWS/Uber/McKinsey, scaling","Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
181,HyperNorm AI,Bengaluru,$2.2M,Seed,"Capital 2B, SenseAI Ventures, Boundless Ventures, iOPEX",Inc42,Explicit: strengthen engineering and AI research teams,Pre-Seed / Seed,,needs-resolution,,
182,Mowito,Bengaluru/Detroit,$3M,Pre-Seed,"Version One Ventures, All In Capital, Unisol, iSeed",Inc42/Business Standard,"Explicit: hiring across robotics engineering, AI, product, customer deployment",Pre-Seed / Seed,,needs-resolution,,
183,Blurgs AI,Chennai/Bengaluru,$2.2M,Seed,Pravega Ventures/Shastra VC + angels,Business Standard/The Week,"Open roles: ML Research Internship, Associate Software Developer, Sr. Data Engineer (blurgs.ai/jobs)",Pre-Seed / Seed,,needs-resolution,,
184,YoLearn.ai,Gurugram,$500K,Pre-Seed,DataAlpha.ai/White Swan Global + angels,Entrackr/Indian Startup Times,Funds to scale voice-first AI tutoring team/platform,Pre-Seed / Seed,,needs-resolution,,
185,Turiyam.ai,Bengaluru,$4M,Pre-Seed,"Ankur Capital, Micelio Fund (Axilor)",Inc42,"Explicit: speed up product development, expand its team",Pre-Seed / Seed,,needs-resolution,,
186,Affluense AI,Bengaluru,Rs 3 Cr (~$360K),Pre-Seed,"Zeropearl VC, Kunal Shah, Pravin Jadhav",Inc42 company profile,Explicit: hire AI/data talent,Pre-Seed / Seed,,needs-resolution,,
187,We360.ai,Bhopal,$2M latest round (total $3.29M),Seed extension,"GSF, SucSEED Indovation Fund, Campus Fund",YourStory,Explicit: raised to scale AI agents,Pre-Seed / Seed,,needs-resolution,,
188,GreyLabs AI,Mumbai,Rs 85 Cr (~$10M),Series A,"Elevation Capital, Z47",Inc42,Scaling BFSI contact-centre automation,"Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
189,Grexa AI,Mumbai,$1.8M,Seed,Undisclosed,Tracxn,Recent raise (proxy signal),Pre-Seed / Seed,,needs-resolution,,
190,EaseMyAI,Mumbai,Rs 3 Cr seed (~$580K total),Seed,Inflection Point Ventures,SiliconIndia,Explicit: recruiting a sales and marketing team,Pre-Seed / Seed,,needs-resolution,,
191,Nugen Intelligence,Mumbai/SF,$1M+,Pre-Seed,Antler (AI Disrupt cohort) + Silicon Valley angels,Startup Success Stories,Explicit: expanding global go-to-market efforts,Pre-Seed / Seed,,needs-resolution,,
192,Lightbulb.ai,Mumbai,$1.5M,Pre-Seed,"Chiratae Ventures, 9Unicorns, Anthill Ventures",Business Today,Deepening datasets/product expansion,Pre-Seed / Seed,,needs-resolution,,
193,TartanHQ,Gurugram,$8.39M total,Series A,"Info Edge Ventures, 500 Global",Tracxn; Inc42,"8 open roles incl. AI Engineer, Data Scientist, AI PM (Uplers, Jun 2026)","Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
194,Zeron,Mumbai,~$500K-$654K,Seed,"Varanium Capital, Yatra Angel Network, 100X.VC",Entrepreneur India; Entrackr,Active Gen AI-security team build-out (Wellfound),Pre-Seed / Seed,,needs-resolution,,
195,Proxgy,Gurugram,$6.73M total ($3M Series A),Series A,Ajinkya Rahane/Nikhil Kamath angels; LetsVenture,Business Standard/Inc42,Selected for Google for Startups AI-First India 2026; scaling IoT/AI wearables team,"Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
196,Pramaana Labs,Bengaluru,$27M,Seed,"Khosla Ventures, Accel, Nexus, Premji Invest",YourStory/Business Today,Funds explicitly earmarked to expand AI research team,Pre-Seed / Seed,,needs-resolution,,
197,Gabify,Noida,$175K,Pre-Seed,Inflection Point Ventures,BW Disrupt/Analytics Insight,Early team actively recruiting per funding release,Pre-Seed / Seed,,needs-resolution,,
198,CerebralZip,Mumbai,Undisclosed (bootstrapped),Pre-Seed,Undisclosed,Wellfound listing,Explicitly hiring to build Gen AI teams,Pre-Seed / Seed,,needs-resolution,,
199,NudgeBee,Pun    e,$3M,Seed,Kalaari Capital,Inc42; nudgebee.com,AIOps team growth post-seed,Pre-Seed / Seed,,needs-resolution,,
200,ThirdAI Automation,Bengaluru,$3M,Seed,"Endiya Partners, Capria Ventures",Inc42/startupnews.fyi,Explicit: grow engineering teams in India and overseas,Pre-Seed / Seed,,needs-resolution,,
201,Lemnisk,Bengaluru,$27.8M-$32.8M,Growth,"Bajaj Finserv, Bharti Airtel, Artha Venture Fund, DSP Mutual Fund",Tracxn/PRNewswire,"Business Analyst + other roles open (LinkedIn, lemnisk.co/careers)",Pre-Seed / Seed,,needs-resolution,,
202,faff,Bengaluru,$2.59M+,Seed,"Nexus Venture Partners, Infinyte Club, Entrepreneur First",Tracxn/Inc42,AI Engineer role listed in LinkedIn hiring post (Jul 2026),Pre-Seed / Seed,,needs-resolution,,
203,Track3D,Hyderabad/Milpitas,$14.3M total ($10M Series A),Series A,"Ironspring Ventures, Zacua Ventures, Shadow Ventures",PRNewswire/StartupNews.fyi,Full-Stack Engineer role open (Hyderabad); funds earmarked to expand India AI/ML team,"Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
204,Edysor.ai,Udaipur,$144K,Pre-Seed,Angel Jasmine Sarupria,FinSMEs,Funds earmarked to scale engineering team and regional operations,Pre-Seed / Seed,,needs-resolution,,
205,Deccan AI,Bengaluru/Hyderabad,$25M Series A (some cite ~$63M total),Series A,"A91 Partners, Susquehanna International Group, Prosus Ventures",TechCrunch,24+ open roles on deccan.ai/open-roles; 105 listings on Naukri (Jul 2026),"Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
206,Composio,Bengaluru/SF,$29M total ($25M Series A),Series A,"Lightspeed Venture Partners, Elevation Capital, Together Fund",Entrepreneur India,28 open positions incl. Bengaluru (jobs.ashbyhq.com/composio),"Series A/B (Growth - bigger, still reachable teams)",,ashby,https://jobs.ashbyhq.com/composio,low
207,Spyne,Gurugram,$25.4M total ($16M Series A),Series A,"Vertex Ventures, Accel, Storm Ventures, Alteria Capital",YourStory,180 employees; active recruiting for Gen AI automotive-imaging roles,"Series A/B (Growth - bigger, still reachable teams)",,needs-resolution,,
208,Monsoon CreditTech,Gurugram,$2.02M total,Seed,"Vellayan Subbiah, HDFC Capital, DMI Alternatives, TopShelf Equity",Tracxn/Crunchbase,"Actively hiring, 11-50 employees per Wellfound",Pre-Seed / Seed,,needs-resolution,,
209,CuriousCats,Bengaluru,Undisclosed (unfunded),Pre-Seed,Undisclosed,Tracxn/Inc42 '30 Startups to Watch',Early-stage team building AI news-agent app,Pre-Seed / Seed,,needs-resolution,,
